jogo_terminado,id_jogo,ano_copa,time,mandante,oponente,vitoria,empate,derrota,gols_marcados,gols_tomados,escanteios_afavor,gols_marcados_primeiro_tempo,gols_tomados_primeiro_tempo,abriu_placar,ambos_marcaram,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,posse_bola,chutes,chutes_gol,precisao_chute,ranking_fifa_time,ranking_fifa_oponente,diferenca_ranking,zebra
1,21,2010,Serbia,0,Germany,1,0,0,1,0,1,1,0,1,0,4,0,10,46,11,4,0.3636363636363637,922.3636363636364,1327.2727272727273,-404.9090909090909,1
1,22,2010,Slovenia,1,United States,0,1,0,2,2,2,2,0,1,1,4,0,15,52,7,5,0.7142857142857143,875.1818181818181,920.2727272727273,-45.09090909090912,0
1,22,2010,United States,0,Slovenia,0,1,0,2,2,4,0,2,0,1,1,0,18,48,13,7,0.5384615384615384,920.2727272727273,875.1818181818181,45.09090909090912,0
1,23,2010,England,1,Algeria,0,1,0,0,0,10,0,0,0,0,1,0,14,51,12,6,0.5,1139.2727272727273,763.8181818181819,375.4545454545454,1
1,23,2010,Algeria,0,England,0,1,0,0,0,3,0,0,0,0,1,0,13,49,7,2,0.2857142857142857,763.8181818181819,1139.2727272727273,-375.4545454545454,1
1,24,2010,Netherlands,1,Japan,1,0,0,1,0,4,0,0,1,0,1,0,18,62,8,6,0.75,1493.6363636363635,735.9090909090909,757.7272727272729,0
1,24,2010,Japan,0,Netherlands,0,0,1,0,1,5,0,0,0,0,0,0,11,38,11,4,0.3636363636363637,735.9090909090909,1493.6363636363635,-757.7272727272729,0
1,25,2010,Ghana,1,Australia,0,1,0,1,1,6,1,1,0,1,3,0,22,49,17,7,0.4117647058823529,853.0909090909091,874.3636363636364,-21.272727272727252,0
1,25,2010,Australia,0,Ghana,0,1,0,1,1,1,1,1,1,1,1,1,18,51,9,6,0.6666666666666666,874.3636363636364,853.0909090909091,21.272727272727252,0
1,26,2010,Cameroon,1,Denmark,0,0,1,1,2,7,1,1,1,1,2,0,9,62,17,9,0.5294117647058824,782,789.9090909090909,-7.909090909090878,0
1,26,2010,Denmark,0,Cameroon,1,0,0,2,1,2,1,1,0,1,2,0,12,38,10,7,0.7,789.9090909090909,782,7.909090909090878,0
1,27,2010,Slovakia,1,Paraguay,0,0,1,0,2,3,0,1,0,0,3,0,15,53,5,2,0.4,821.2727272727273,860.5454545454545,-39.27272727272725,0
1,27,2010,Paraguay,0,Slovakia,1,0,0,2,0,1,1,0,1,0,1,0,17,47,12,6,0.5,860.5454545454545,821.2727272727273,39.27272727272725,0
1,28,2010,Italy,1,New Zealand,0,1,0,1,1,15,1,1,0,1,0,0,11,62,16,7,0.4375,1070.5454545454545,483.72727272727275,586.8181818181818,1
1,28,2010,New Zealand,0,Italy,0,1,0,1,1,0,1,1,1,1,3,0,25,38,4,2,0.5,483.72727272727275,1070.5454545454545,-586.8181818181818,1
1,29,2010,Brazil,1,Ivory Coast,1,0,0,3,1,4,1,0,1,1,1,1,17,59,11,7,0.6363636363636364,1540.4545454545455,856.7272727272727,683.7272727272727,0
1,29,2010,Ivory Coast,0,Brazil,0,0,1,1,3,3,0,1,0,1,3,0,23,41,8,5,0.625,856.7272727272727,1540.4545454545455,-683.7272727272727,0
1,30,2010,Portugal,1,North Korea,1,0,0,7,0,5,1,0,1,0,2,0,16,53,23,14,0.6086956521739131,1143.3636363636365,NA,NA,0
1,30,2010,North Korea,0,Portugal,0,0,1,0,7,1,0,1,0,0,2,0,6,47,12,4,0.3333333333333333,NA,1143.3636363636365,NA,0
1,31,2010,Chile,1,Switzerland,1,0,0,1,0,5,0,0,1,0,6,0,21,60,16,7,0.4375,957,890.4545454545455,66.5454545454545,0
1,31,2010,Switzerland,0,Chile,0,0,1,0,1,3,0,0,0,0,3,1,25,40,7,0,0,890.4545454545455,957,-66.5454545454545,0
1,32,2010,Spain,1,Honduras,1,0,0,2,0,12,1,0,1,0,0,0,9,65,15,8,0.5333333333333333,1752.6363636363635,652.2727272727273,1100.3636363636365,0
1,32,2010,Honduras,0,Spain,0,0,1,0,2,2,0,1,0,0,2,0,18,35,5,0,0,652.2727272727273,1752.6363636363635,-1100.3636363636365,0
1,33,2010,Mexico,1,Uruguay,0,0,1,0,1,6,0,1,0,0,2,0,20,63,8,3,0.375,868.9090909090909,1048.090909090909,-179.18181818181813,0
